Hour (PT),IP range,Total requests,4xx/5xx HTTP error count,API-level error count,afriex AWS?
2021-09-01 00:00,18.168.0.0/14,103,0,0,
2021-09-01 00:00,35.176.0.0/15,6,0,0,
2021-09-01 01:00,18.168.0.0/14,75,0,0,
2021-09-01 01:00,35.176.0.0/15,24,0,0,
2021-09-01 02:00,18.168.0.0/14,11,0,0,
2021-09-01 03:00,18.168.0.0/14,42,0,0,
2021-09-01 03:00,35.178.0.0/15,1,0,0,
2021-09-01 04:00,18.168.0.0/14,33,0,0,
2021-09-01 04:00,18.130.0.0/16,5,0,0,
2021-09-01 04:00,35.178.0.0/15,3,0,0,
2021-09-01 05:00,18.130.0.0/16,66,0,0,
2021-09-01 05:00,18.168.0.0/14,41,0,0,
2021-09-01 05:00,18.132.0.0/14,4,0,0,
2021-09-01 06:00,18.132.0.0/14,45,0,0,
2021-09-01 06:00,35.176.0.0/15,43,0,0,
2021-09-01 06:00,52.56.0.0/16,43,0,0,
2021-09-01 06:00,35.178.0.0/15,21,0,0,
2021-09-01 06:00,18.130.0.0/16,3,0,0,
2021-09-01 07:00,3.8.0.0/14,104,0,0,
2021-09-01 07:00,18.132.0.0/14,60,0,0,
2021-09-01 07:00,52.56.0.0/16,14,0,0,
2021-09-01 07:00,35.178.0.0/15,8,0,0,
2021-09-01 08:00,18.168.0.0/14,57,0,0,
2021-09-01 08:00,3.8.0.0/14,12,0,0,
2021-09-01 08:00,52.56.0.0/16,5,0,0,
2021-09-01 09:00,18.168.0.0/14,6,0,0,
2021-09-01 10:00,3.8.0.0/14,1,0,0,
2021-09-01 10:00,18.168.0.0/14,1,0,0,
2021-09-01 11:00,18.168.0.0/14,54,0,0,
2021-09-01 12:00,18.168.0.0/14,72,0,0,
2021-09-01 22:00,18.168.0.0/14,60,0,0,
2021-09-01 23:00,18.132.0.0/14,22,0,0,
2021-09-01 23:00,18.168.0.0/14,4,0,0,
2021-09-01 23:00,35.176.0.0/15,3,0,0,
2021-09-02 00:00,18.168.0.0/14,20,0,0,
2021-09-02 00:00,18.132.0.0/14,11,0,0,
2021-09-02 00:00,35.176.0.0/15,2,0,0,
